,город,координаты
0,Москва,"[55.755819, 37.617644]"
1,Ростов,"[57.18587, 39.414526]"
2,Ярославль,"[57.626559, 39.893813]"
3,Ярославль (деревня),"[57.626559, 39.893813]"
4,Ливны,"[52.426549, 37.60805]"
5,Казань,"[55.796127, 49.106414]"
6,Рыбинск,"[58.04864, 38.855711]"
7,Tokyo,"[55.719815, 37.694064]"
8,Брейтово,"[58.302689, 37.866666]"
9,Санкт-Петербург,"[59.938676, 30.314494]"
10,Нижний Новгород,"[56.326797, 44.006516]"
11,Уфа,"[54.735152, 55.958736]"
12,Саратов,"[51.533562, 46.034266]"
13,Омск,"[54.989347, 73.368221]"
14,Ступино,"[54.88628, 38.078237]"
15,Кисловодск,"[43.905518, 42.715718]"
